,qkey,attribute,group,D_H,R_H
0,MED4A_W34,Overall,Overall,[0.18881541 0.81118459],0.013891416456473087
1,EAT3J_W34,Overall,Overall,[0.88425382 0.11574618],0.0
2,EAT3G_W34,Overall,Overall,[0.66666407 0.33333593],0.0
3,MED2G_W34,Overall,Overall,[0.49343367 0.40109904 0.10546729],0.008683279852101945
4,MED6C_W34,Overall,Overall,[0.45962292 0.38612488 0.12191577 0.03233643],0.009278498862310382
5,BIOTECHC_W34,Overall,Overall,[0.70740165 0.29259835],0.014130584803536359
6,BIOTECHD_W34,Overall,Overall,[0.57889391 0.42110609],0.017204985803415684
7,MED6D_W34,Overall,Overall,[0.58151535 0.29404074 0.08702625 0.03741766],0.010749949356633228
8,EVOPERS3A_W34,Overall,Overall,[0.69356977 0.22298026 0.08344997],0.5867965259315602
9,EAT6_W34,Overall,Overall,[0.51446819 0.48553181],0.018014199502744965
10,SCI3C_W34,Overall,Overall,[0.8079766 0.1920234],0.011825802117778754
11,EAT1_W34,Overall,Overall,[0.1155581  0.37239816 0.32514126 0.15587483 0.03102765],0.004751472300272172
12,FUD37A_W34,Overall,Overall,[0.25258608 0.38239212 0.3039163  0.0611055 ],0.009351345644336342
13,MED4C_W34,Overall,Overall,[0.60791451 0.39208549],0.020859037174480996
14,SCI3A_W34,Overall,Overall,[0.77803704 0.22196296],0.012490687085918415
15,MED6A_W34,Overall,Overall,[0.55066918 0.32222573 0.09257306 0.03453204],0.011061156681899045
16,G1_W34,Overall,Overall,[0.39353487 0.60646513],0.3448058895695745
17,MED6B_W34,Overall,Overall,[0.16180327 0.48986519 0.27181967 0.07651187],0.015766861586231168
18,MED6E_W34,Overall,Overall,[0.18662398 0.43008359 0.30137775 0.08191469],0.014071543717962893
19,EAT5D_W34,Overall,Overall,[0.26270152 0.52417366 0.17730211 0.03582271],0.004994467010599138
20,EAT5B_W34,Overall,Overall,[0.32226425 0.47811803 0.16079511 0.0388226 ],0.004676175878277749
21,EVOONE_W34,Overall,Overall,[0.69258757 0.30741243],0.025643821352562792
22,BIOTECHA_W34,Overall,Overall,[0.44135973 0.55864027],0.017868182319181813
23,FUD37C_W34,Overall,Overall,[0.21785646 0.35624093 0.36510645 0.06079617],0.013219229060967112
24,MED5_W34,Overall,Overall,[0.07371661 0.29364512 0.45716676 0.1754715 ],0.013638440531049555
25,EAT3H_W34,Overall,Overall,[0.72156529 0.27843471],0.0
26,SCI3B_W34,Overall,Overall,[0.80722051 0.19277949],0.010226042121198087
27,SCI5_W34,Overall,Overall,[0.47429852 0.52570148],0.01882206130223191
28,FUD37D_W34,Overall,Overall,[0.316401   0.45171575 0.18731827 0.04456498],0.011796105872911473
29,FUD33B_W34,Overall,Overall,[0.04596712 0.35811551 0.59591736],0.04236180720419234
30,FUD33A_W34,Overall,Overall,[0.05415935 0.55036458 0.39547608],0.2703907435112965
31,FUD22_W34,Overall,Overall,[0.06619355 0.32182336 0.43084996 0.18113313],0.006322216459553551
32,EAT5A_W34,Overall,Overall,[0.3160743  0.48221524 0.16947564 0.03223483],0.004121713827943144
33,SCI2B_W34,Overall,Overall,[0.90568021 0.09431979],0.008210703814774765
34,SCI2A_W34,Overall,Overall,[0.70888475 0.29111525],0.008461657561167945
35,EAT5C_W34,Overall,Overall,[0.20698449 0.48484484 0.25055957 0.0576111 ],0.0048368022424479015
36,SCI2C_W34,Overall,Overall,[0.76378787 0.23621213],0.006649960055414544
37,EVOPERS3_W34,Overall,Overall,[0.33439584 0.48513808 0.18046608],0.01502373446827741
38,EAT3K_W34,Overall,Overall,[0.76215536 0.23784464],0.0
39,BIO15_W34,Overall,Overall,[0.64214925 0.35785075],0.0056762564058686045
40,EAT3F_W34,Overall,Overall,[0.61935076 0.38064924],0.0
41,G2_W34,Overall,Overall,[0.18042244 0.81957756],0.20372825376156584
42,EAT3I_W34,Overall,Overall,[0.56078495 0.43921505],0.0
43,MED7_W34,Overall,Overall,[0.33921459 0.66078541],0.018444448712007535
44,MED2D_W34,Overall,Overall,[0.8300575  0.14098698 0.02895552],0.003844180148637096
45,MED2A_W34,Overall,Overall,[0.4576044  0.42293304 0.11946256],0.005488348191639347
46,EVOTWO_W34,Overall,Overall,[0.49372493 0.50627507],0.45598888385642433
47,MED2B_W34,Overall,Overall,[0.68411041 0.28126473 0.03462485],0.0050402755117816
48,EVOTHREE_W34,Overall,Overall,[0.59910125 0.40089875],0.0266770310603917
49,MED1_W34,Overall,Overall,[0.48719622 0.51280378],0.014777394108738844
50,EVOBIOA_W34,Overall,Overall,[0.80530749 0.19469251],0.19224313099291113
51,FUD37B_W34,Overall,Overall,[0.24195326 0.35719808 0.32862878 0.07221989],0.01301659916613085
52,FUD35_W34,Overall,Overall,[0.21853358 0.39383187 0.28431513 0.10331942],0.003949541171538077
53,MED2E_W34,Overall,Overall,[0.42708262 0.48352969 0.08938769],0.009799987936846827
54,FUD24_W34,Overall,Overall,[0.45926759 0.02616478 0.51456763],0.009380562433417911
